n,plus_time,join_time
10,0.0042209000093862414,0.0008279000176116824
100,0.07790819997899234,0.0061784000135958195
500,0.4023328000039328,0.029353999998420477
750,0.6295855999924242,0.04433010000502691
1000,0.8088663000089582,0.06273209999199025
2500,2.099987100024009,0.14978229999542236
5000,4.5185963999829255,0.31442030001198873
7500,6.432351099996595,0.4607780000078492
10000,8.915284399990924,0.6527957000071183
